name,voteCount,rating,address,cusine,cost,timing,lat,long
Mughal Sultan Biryani,Cuisines:,-,"23, Zakaria Street, Bara Bazar, Kolkata",South Indian,₹300,11am – 11pm (Mon-Sun),22.5771793,88.3577559
Yaariyaan Food Corner,Cuisines:,NEW,"64, Tripura Roy Ln Babudanga, Golabari, Bandhaghat, Salkia Kolkata",South Indian,₹100,4pm – 10pm (Mon-Sun),22.600921,88.3452458
Sweet Treats,Cuisines:,NEW,"21/1, Kali Banerjee Lane, Shibpur, Howrah",South Indian,₹200,11am – 11pm (Mon-Sun),22.61770655,87.83452115
The Cake Zone,Cuisines:,-,"RA 439, Nabapally, Bidhan Nagar, Sector 4, Salt Lake, Kolkata","Street Food, Chinese, North Indian, Fast Food",₹250,10:30am – 10:30pm (Mon-Sun),22.5574008,88.412451
Anas Biryani,Cuisines:,-,"163, D.H Road, Pathakpara, Behala, Kolkata","Street Food, Chinese, North Indian, Fast Food",₹300,12noon – 10pm (Mon-Sun),22.506436,88.32023
Anny's Kitchen,Cuisines:,NEW,"18, Russa Road, South 1st Lane, Tollygunge, Kolkata",Bengali,₹300,12noon – 11pm (Mon-Sun),22.4991575,88.347791
Fry And Kebab,Cuisines:,-,"4/50, Chanditola Lane, Tollygunge, Kolkata",Bengali,₹200,5pm – 10pm (Mon-Sun),22.37882595,87.3130537
Jagadharti Mistanna Bhandar,Cuisines:,-,"132A, Bakul Bagan Road, Bhawanipur, Kolkata","Chinese, North Indian, Seafood",₹150,7am – 10pm (Mon-Sun),22.5274816,88.3502422
Calcutta Baking Company,Cuisines:,-,"70/20/1, Selimpur Road, Dhakuria, Kolkata","Chinese, North Indian, Bengali",₹200,11am – 11pm (Mon-Sun),22.81910775,87.8901205
The Food Front,Cuisines:,-,"1/17A, Ashoknagar, Tollygunge","Chinese, North Indian, Bengali",₹300,"9am – 4pm, 7pm – 11pm (Mon-Sun)",22.3909989,87.32251695
Dragon Spices,Cuisines:,NEW,"48/1, 148, Regent Colony, NSC Road, Near Milangarh School, Tollygunge, Kolkata","Fast Food, North Indian",₹400,8am – 10:30pm (Mon-Sun),22.5946232,87.89218625
Pubg Food Corner,24 votes,3.4,"54, Phears Lane, Kolutolla, Tiretti, Dalhousie BBD Bagh, Kolkata","Fast Food, North Indian",₹250,2pm – 11pm (Mon-Sun),22.5758298,88.3571684
The Tea Trove,63 votes,3.9,"2nd Floor, Acropolis Mall, Kasba, Kolkata","Chinese, North Indian, Biryani, Rolls, Street Food",₹400,10:30am – 9:30pm (Mon-Sun),22.51447085,88.3923133
Shahi Darbar Restaurant,28 votes,3.4,"1st, Topsia, Kolkata","Chinese, North Indian, Biryani, Rolls, Street Food",₹400,11:30am – 1am (Mon-Sun),22.5369874,88.38676705
Comida Casera,88 votes,3.7,"236, Santoshpur Avenue, Santoshpur, Kolkata","Chinese, Fast Food, Coffee",₹600,5pm – 5am (Mon-Sun),22.4939392,88.3901314
Rakshit Sweets,11 votes,3.5,"16/1E, Raja Manindra Road, Paikpara, Kolkata","Tibetan, Chinese",₹100,8am – 10pm (Mon-Sun),22.30738845,87.57414305
Old Ajooba Biryani Centre,23 votes,3.4,"343, Garfa Main Road, Near Garfa Boy's High School, Santoshpur, Kolkata","Tibetan, Chinese",₹250,12noon – 11pm (Mon-Sun),22.49955925,88.38027135
Bijoli Grill Foods Corner,74 votes,3.5,"42, Sadananda Road, Kalighat, Kolkata",Biryani,₹450,12:30pm – 10:30pm (Mon-Sun),22.5183312,88.3451571
Shakes And Waffle Co.,47 votes,3.6,"194, Jodhpur Gardens, Lake Gardens, Kolkata",South Indian,₹450,9am – 2:30am (Mon-Sun),22.5058909,88.361123
Raju South Indian Food,13 votes,3.4,"Gate 2, Jadavpur University Campus Area, Jadavpur, Kolkata",South Indian,₹150,8am – 9:30pm (Mon-Sun),22.4990559,88.37012065
Just Cakes,289 votes,4,"Baikuntha Chatterjee Lane, Maidan Area, Shibpur, Howrah",North Indian,₹200,7am – 10pm (Mon-Sun),22.5823473,88.330652
Saima Biriyani,10 votes,3.1,"16/3, Matheswartala Road, Opposite Sitla Mandir, Bypass Crossing, Topsia, Kolkata",Bakery,₹300,10am – 12midnight (Mon-Sun),22.30738845,87.57414305
Panch Bhog Catering,4 votes,2.9,"3rd Floor, 115, Cotton Street, Bara Bazar, Kolkata","Cafe, Fast Food",₹300,11am – 11pm (Mon-Sun),22.5811117,88.3566399
Lip Smackerz,144 votes,3.7,"57/1J, Nehru Colony, N.S.C. Bose Road, Tollygunge, Kolkata",Chinese,₹250,1pm – 10pm (Mon-Sun),22.20741275,87.32912795
Royal Indian Biryani,40 votes,3.3,"6, VIP Nagar Road, Ruby Hospital Area, Kolkata","Fast Food, Beverages",₹200,11:30am – 11:30pm (Mon-Sun),22.5158674,88.4010606
Onkar Hotel,14 votes,2.7,"Shop 183, M.G Road, Near Bara Bazar Police Station, Bara Bazar, Kolkata","Fast Food, Beverages",₹200,"11am – 4pm, 7pm – 10pm (Mon-Sun)",22.57978005,88.3554787
Khushi South Indian Food Plaza,19 votes,3.2,"6, Gariahat Road South, Dhakuria, Kolkata","Bengali, North Indian, Biryani, Chinese",₹200,10am – 9:30pm (Mon-Sun),22.5092564,88.3679833
Parama Roll Corner,85 votes,3.7,"47/3/B, Gariahat Road, Near Gariahat Police Station, Gariahat, Kolkata","Bengali, North Indian, Biryani, Chinese",₹150,10am – 10pm (Mon-Sun),22.31612635,87.84598205
Manmohan Sweets,36 votes,3.4,"86, Deshapran Sashmal Road, Tollygunge Phari, Tollygunge, Kolkata","North Indian, Chinese, Mughlai",₹100,7am – 11pm (Mon-Sun),22.5029863,88.345199
Ghosh Sweets,30 votes,3.5,"6/9, Bijoygarh, Jadavpur, Kolkata","North Indian, Chinese, Mughlai",₹100,7am – 10pm (Mon-Sun),22.387312,87.3145079
Hindustan Restaurant,122 votes,3.7,"48/C, C.G.R. Road, Near Guhkailash Gate, Babu Bazar, Kidderpore, Kolkata",Chinese,₹350,7am – 12midnight (Mon-Sun),22.5946232,87.89218625
Cafe Upto You,Cuisines:,-,"113, Panchannagram, 64 Panchannagram, Picnic Garden, Kolkata",Chinese,₹500,2pm – 2am (Mon-Sun),22.53060935,88.39062895
Firangi Adda,Cuisines:,-,"12, S N, Banerjee Lane, Salkia, Howrah","Cafe, Fast Food",₹200,11am – 11pm (Mon-Sun),22.6034248,88.3476003
Bonn Tonn Bakery,81 votes,4.1,"2/1A, 3rd Floor, Babylon Building, Burdawan Road, Alipore, Kolkata","Cafe, Fast Food",₹150,10am – 7pm (Mon-Sun),22.391764,87.32131525
Topsia Biryani House,4 votes,3,"4/C, Topsia Road, Topsia, Kolkata","Momos, Chinese",₹200,12noon – 11pm (Mon-Sun),22.37882595,87.3130537
Mughal Darbar Biryani House,16 votes,3,"101, M.G. Road, Bara Bazar, Kolkata","Momos, Chinese",₹300,11am – 12midnight (Mon-Sun),22.5807852,88.3550066
Cantonese Restaurant,546 votes,4.2,"7, 1st Floor, Near Jadavpur University, Raja S.C. Mullick Road, Jadavpur, Kolkata","North Indian, Mughlai",₹650,12noon – 11:30pm (Mon-Sun),22.49451145,88.36699655
Royal City Hotel,74 votes,3.4,"42, Kabitirtha Sarani, Kidderpore, Kolkata","North Indian, Mughlai",₹500,7am – 11pm (Mon-Sun),22.5429246,88.3250792
Amrit Bhog,29 votes,3.5,"233, Belilious Road, Opposite N.D. College, Howrah Station Area, Howrah","Chinese, Mughlai, North Indian, Bengali, Rolls",₹150,8am – 9pm (Mon-Sun),22.5923629,88.3279178
Satvik Kitchen,Cuisines:,,"14, Amartalla Street, Dalhousie BBD Bagh, Kolkata","Chinese, Mughlai, North Indian, Bengali, Rolls",₹350,,22.60396135,88.34286945
The Yellow Straw,Cuisines:,-,"120, The Tollygunge Club, Deshpran Sasmal Road, Tollygunge, Kolkata",North Indian,₹250,10am – 8pm (Mon-Sun),22.4952778,88.3436111
Vesselka'S,Cuisines:,-,"17, Ward 93, Das Nagar, Gobindapur Road, Lake Gardens, Kolkata",North Indian,₹400,8am – 10pm (Mon-Sun),22.5056172,88.3597723
Mast Banarasi Paan,6 votes,2.8,"188/1/A, Maniktala Main Road, Opposite Romeo Saloon, Kankurgachi, Kolkata",South Indian,₹100,11am – 11:30pm (Mon-Sun),22.64476925,87.86514775
Pappu Biryani House,Cuisines:,-,"85/1/F, Ibrahimpur Road, Bidhanpally, Jadavpur, Kolkata",South Indian,₹200,8am – 12midnight (Mon-Sun),22.67689065,87.89087785
Hotel Avenue Club,Cuisines:,-,"95 A Chittaranjan Avenue, Chandni Chowk, Kolkata","North Indian, Bengali",₹700,8:30am – 8:30pm (Mon-Sun),22.5734933,88.3587981
